2,Domek,imgs-town1.png,imgs-block2.png,2,1,+1,2,
2,Domek,imgs-town1.png,,1,1,+1,1,Kazde kolo|1 novy nepritel|uvnitr|+2 Mala Jidla
2,Domek,imgs-town1.png,imgs-block1.png,2,1,+1,1,Utok v budove|vsichni -1
1,Kram,imgs-town1.png,,0,1,+1,2,+1 Predmet
1,Kram,imgs-town1.png,,0,1,+1,1,+1 Predmet
1,Policie,imgs-town1.png,,1,1,+0,0,+1 jakakoliv Zbran|Vyroba naboju|je zadarmo
1,Policie,imgs-town1.png,,1,1,+0,1,+1 jakakoliv Zbran|Vyroba naboju|je zadarmo
2,Lekarna,imgs-town1.png,,0,0,-1,0,Leceni je zadarmo|1 Zivot za akci|inventare
1,Garaze,imgs-town1.png,,2,1,+1,2,+1 Maly Material
1,Garaze,imgs-town1.png,,1,2,+1,3,+1 Maly Material
1,Sklad,imgs-town1.png,imgs-block2.png,2,2,+2,2,+1 Velky material
1,Sklad,imgs-town1.png,imgs-block2.png,1,2,+2,2,+1 Velky material
1,Firma,imgs-town1.png,,2,1,+0,2,Kazde kolo|1 novy nepritel|uvnitr
1,Firma,imgs-town1.png,,1,2,+0,2,Kazde kolo|1 novy nepritel|uvnitr
1,Firma,imgs-town1.png,,1,2,+0,1,Kazde kolo|1 novy nepritel|uvnitr
5,Park,imgs-town1.png,imgs-block.png,0,2,x,0,Nejde jit dovnitr|Nejde prohledavat
2,Pristav,imgs-town2.png,,2,2,+2,3,CIL MISE||+1 Velky Material
2,Jizdarna,imgs-town2.png,,3,2,+2,3,CIL MISE||+1 Velke Jidlo
2,Letiste,imgs-town2.png,,1,2,+2,3,CIL MISE||+1 Velky Material
4,Bunkr,imgs-town2.png,,3,1,+1,0,CIL MISE||+1 Zbran
